Date,Movie,Chain,Screenings,Screen_Share(%)
2019년 01월 11일(Fri),주먹왕 랄프 2: 인터넷 속으로,메가박스,662,14.3%
2019년 01월 11일(Fri),주먹왕 랄프 2: 인터넷 속으로,씨네Q,46,18.4%
2019년 01월 11일(Fri),아쿠아맨,CGV,860,11.8%
2019년 01월 11일(Fri),아쿠아맨,롯데시네마,557,10.1%
2019년 01월 11일(Fri),아쿠아맨,메가박스,579,12.5%
2019년 01월 11일(Fri),아쿠아맨,씨네Q,33,13.2%
2019년 01월 11일(Fri),극장판 공룡메카드: 타이니소어의 섬,CGV,652,8.9%
2019년 01월 11일(Fri),극장판 공룡메카드: 타이니소어의 섬,롯데시네마,519,9.4%
2019년 01월 11일(Fri),극장판 공룡메카드: 타이니소어의 섬,메가박스,407,8.8%
2019년 01월 11일(Fri),극장판 공룡메카드: 타이니소어의 섬,씨네Q,16,6.4%
2019년 01월 12일(Sat),말모이,CGV,1915,25.3%
2019년 01월 12일(Sat),말모이,롯데시네마,1726,29.8%
2019년 01월 12일(Sat),말모이,메가박스,1171,24.0%
2019년 01월 12일(Sat),말모이,씨네Q,58,21.0%
2019년 01월 12일(Sat),내안의 그놈,CGV,1320,17.5%
2019년 01월 12일(Sat),내안의 그놈,롯데시네마,1056,18.2%
2019년 01월 12일(Sat),내안의 그놈,메가박스,1017,20.9%
2019년 01월 12일(Sat),내안의 그놈,씨네Q,51,18.5%
2019년 01월 12일(Sat),주먹왕 랄프 2: 인터넷 속으로,CGV,1072,14.2%
2019년 01월 12일(Sat),주먹왕 랄프 2: 인터넷 속으로,롯데시네마,818,14.1%
2019년 01월 12일(Sat),주먹왕 랄프 2: 인터넷 속으로,메가박스,636,13.0%
2019년 01월 12일(Sat),주먹왕 랄프 2: 인터넷 속으로,씨네Q,48,17.4%
2019년 01월 12일(Sat),극장판 공룡메카드: 타이니소어의 섬,CGV,811,10.7%
2019년 01월 12일(Sat),극장판 공룡메카드: 타이니소어의 섬,롯데시네마,719,12.4%
2019년 01월 12일(Sat),극장판 공룡메카드: 타이니소어의 섬,메가박스,559,11.5%
2019년 01월 12일(Sat),극장판 공룡메카드: 타이니소어의 섬,씨네Q,22,8.0%
2019년 01월 12일(Sat),아쿠아맨,CGV,775,10.2%
2019년 01월 12일(Sat),아쿠아맨,롯데시네마,540,9.3%
2019년 01월 12일(Sat),아쿠아맨,메가박스,550,11.3%
2019년 01월 12일(Sat),아쿠아맨,씨네Q,39,14.1%
2019년 01월 13일(Sun),말모이,CGV,1872,25.3%
2019년 01월 13일(Sun),말모이,롯데시네마,1671,29.7%
