rank_num,title,director,production_comp_name,importer_name,distributor_name,released_date,movie_type,movie_format,country,screen_num,total_sales,audience_num,seoul_total_sales,seoul_audience_num,genre,film_ratings,category
1,남산의 부장들,우민호,(주)하이브미디어코프,,(주)쇼박스,2020-01-22 00:00:00,개봉영화,장편,한국,1659,41223596650,4750104,9851448590,1113402,드라마,15세이상관람가,일반영화
2,다만 악에서 구하소서,홍원찬,(주)하이브미디어코프,,(주)씨제이이엔엠,2020-08-05 00:00:00,개봉영화,장편,한국,1998,38554527990,4352669,8906277620,984042,범죄,15세이상관람가,일반영화
3,반도,연상호,(주)영화사레드피터,,(주)넥스트엔터테인먼트월드(NEW),2020-07-15 00:00:00,개봉영화,장편,한국,2575,33071341280,3812080,8005831840,895163,액션,15세이상관람가,일반영화
4,히트맨,최원섭,베리굿스튜디오(주),,롯데컬처웍스(주)롯데엔터테인먼트,2020-01-22 00:00:00,개봉영화,장편,한국,1122,20614278000,2406232,4072414720,472840,코미디,15세이상관람가,일반영화
5,테넷,크리스토퍼 놀란,,워너브러더스 코리아(주),워너브러더스 코리아(주),2020-08-26 00:00:00,개봉영화,장편,미국,2228,18464298170,1998987,6648665370,680773,액션,12세이상관람가,일반영화
6,#살아있다,조일형,영화사 집(주)퍼스펙티브픽쳐스,,롯데컬처웍스(주)롯데엔터테인먼트,2020-06-24 00:00:00,개봉영화,장편,한국,1882,15965329900,1903703,3885303840,476332,드라마,15세이상관람가,일반영화
7,담보,강대규,(주)제이케이필름(주)레드로버(주)씨제이이엔엠(주)영화사연,,(주)씨제이이엔엠,2020-09-29 00:00:00,개봉영화,장편,한국,1342,14749476550,1719592,2689563450,305919,드라마,12세이상관람가,일반영화
8,강철비2: 정상회담,양우석,(주)스튜디오게니우스우정,,롯데컬처웍스(주)롯데엔터테인먼트,2020-07-29 00:00:00,개봉영화,장편,한국,2137,14655366110,1790797,3474597010,441770,드라마,15세이상관람가,일반영화
9,삼진그룹 영어토익반,이종필,더램프(주),,롯데컬처웍스(주)롯데엔터테인먼트,2020-10-21 00:00:00,개봉영화,장편,한국,1615,13985885870,1571774,3946153940,444282,드라마,12세이상관람가,일반영화
10,도굴,박정배,(주)싸이런픽쳐스,,(주)씨제이이엔엠,2020-11-04 00:00:00,개봉영화,장편,한국,1635,13947969670,1543813,3235832320,355865,범죄,12세이상관람가,일반영화
